바코드,이름,판매가격,파싱문자열,회사코드,품목코드,정규화바코드,표준코드후보,대표코드후보,업체코드,검증번호,상태
0108806433025014,젠빅 60c,"10,000",6433025014,6433,02501,8806433025014 ,8806433025014 ,643302501,6433,4,OK
0108806433035051,케펨 40매,"8,000",6433035051,6433,03505,8806433035051 ,8806433035051 ,643303505,6433,1,OK
0108806433052317,류파프 6매,"2,500",6433052317,6433,05231,8806433052317 ,8806433052317 ,643305231,6433,7,OK
0108806433052324,류파프핫 6매,"2,500",6433052324,6433,05232,8806433052324 ,8806433052324 ,643305232,6433,4,OK
0108806433065515,파미딘 10mg 10정,"2,000",6433065515,6433,06551,8806433065515 ,8806433065515 ,643306551,6433,5,OK
0108806433065522,파미딘 10mg 30정,"4,000",6433065522,6433,06552,8806433065522 ,8806433065522 ,643306552,6433,2,OK
0108806433087616,파미딘 플러스 10T,"2,500",6433087616,6433,08761,8806433087616 ,8806433087616 ,643308761,6433,6,OK
0108806433094218,동의고 6매,"3,000",6433094218,6433,09421,8806433094218 ,8806433094218 ,643309421,6433,8,OK
0108806435000712,히아로겔 15g,"10,000",6435000712,6435,00071,8806435000712 ,8806435000712 ,643500071,6435,2,OK
0108806435002242,눈앤 0.5ml x 30관,"8,000",6435002242,6435,00224,8806435002242 ,8806435002242 ,643500224,6435,2,OK
0108806435006110,루마 50g,"4,000",6435006110,6435,00611,8806435006110 ,8806435006110 ,643500611,6435,0,OK
0108806435009036,메디락 디에스장용캡슐 100C,"12,000",6435009036,6435,00903,8806435009036 ,8806435009036 ,643500903,6435,6,OK
0108806435010032,목시딜액 5% 30ml,"4,000",6435010032,6435,01003,8806435010032 ,8806435010032 ,643501003,6435,2,OK
0108806435010520,무조날크림 15g,"3,000",6435010520,6435,01052,8806435010520 ,8806435010520 ,643501052,6435,0,OK
0108806435011213,바이버 크림 5g,"2,000",6435011213,6435,01121,8806435011213 ,8806435011213 ,643501121,6435,3,OK
0108806435011411,복합써스펜좌약 10개입,"10,000",6435011411,6435,01141,8806435011411 ,8806435011411 ,643501141,6435,1,OK
0108806435013217,소하자임 플러스 10T,"3,000",6435013217,6435,01321,8806435013217 ,8806435013217 ,643501321,6435,7,OK
0108806435022714,제텐씨 60T,"18,000",6435022714,6435,02271,8806435022714 ,8806435022714 ,643502271,6435,4,OK
0108806435024527,케어가글 오리지널 100ml(약국용),"1,200",6435024527,6435,02452,8806435024527 ,8806435024527 ,643502452,6435,7,OK
0108806435024534,케어가글 오리지널 250ml(약국용),"3,000",6435024534,6435,02453,8806435024534 ,8806435024534 ,643502453,6435,4,OK
0108806435024541,"케어가글 오리지널 1,000ml(약국용)","10,000",6435024541,6435,02454,8806435024541 ,8806435024541 ,643502454,6435,1,OK
0108806435024565,케어가글 사과향 250ml(약국용),"4,000",6435024565,6435,02456,8806435024565 ,8806435024565 ,643502456,6435,5,OK
0108806435028815,텐텐츄정 10p,"2,000",6435028815,6435,02881,8806435028815 ,8806435028815 ,643502881,6435,5,OK
0108806435031747,파워겔(리도카인) 1g 5포,"6,000",6435031747,6435,03174,8806435031747 ,8806435031747 ,643503174,6435,7,OK
0108806435036322,아스피린100mg 100정,"7,000",6435036322,6435,03632,8806435036322 ,8806435036322 ,643503632,6435,2,OK
0108806435037435,유리아 50g,"3,000",6435037435,6435,03743,8806435037435 ,8806435037435 ,643503743,6435,5,OK
0108806435042811,슬리펠 25mg 20T,"3,500",6435042811,6435,04281,8806435042811 ,8806435042811 ,643504281,6435,1,OK
0108806435062116,코앤 15ml(140회),"7,000",6435062116,6435,06211,8806435062116 ,8806435062116 ,643506211,6435,6,OK
0108806435065117,미등록상품,"1,000",6435065117,6435,06511,8806435065117 ,8806435065117 ,643506511,6435,7,OK
0108806435065186,장쾌락 15ml x 30P,"17,000",6435065186,6435,06518,8806435065186 ,8806435065186 ,643506518,6435,6,OK
0108806435067210,무조날쿨크림 15g,"3,000",6435067210,6435,06721,8806435067210 ,8806435067210 ,643506721,6435,0,OK
0108806435067319,코스펜정 10T,"2,000",6435067319,6435,06731,8806435067319 ,8806435067319 ,643506731,6435,9,OK
0108806435070913,목앤 스프레이 20ml,"6,500",6435070913,6435,07091,8806435070913 ,8806435070913 ,643507091,6435,3,OK
0108806435073914,코앤쿨 20ml,"5,500",6435073914,6435,07391,8806435073914 ,8806435073914 ,643507391,6435,4,OK
0108806435074812,까스앤프리 80mg 12T,"4,000",6435074812,6435,07481,8806435074812 ,8806435074812 ,643507481,6435,2,OK
0108806435075512,나인나인 100T,"25,000",6435075512,6435,07551,8806435075512 ,8806435075512 ,643507551,6435,2,OK
0108806435079411,무조날S 네일라카 6ml,"15,000",6435079411,6435,07941,8806435079411 ,8806435079411 ,643507941,6435,1,OK
0108806435080516,두피앤 30ml,"5,000",6435080516,6435,08051,8806435080516 ,8806435080516 ,643508051,6435,6,OK
0108806435080813,쎄코론지크림 30g,"3,000",6435080813,6435,08081,8806435080813 ,8806435080813 ,643508081,6435,3,OK
0108806436003118,노바손크림 15g,"2,000",6436003118,6436,00311,8806436003118 ,8806436003118 ,643600311,6436,8,OK
01088064360331151728081110401945,제놀한방,"2,500",64360331151728081110401945,6436,03311,88064360331151728081110401945,8806436033115 ,643603311,6436,5,OK
01088064360498191728051310402467,미등록상품,"2,000",64360498191728051310402467,6436,04981,88064360498191728051310402467,8806436049819 ,643604981,6436,9,OK
0108806436066021,아이포레 0.5ml x 30관,"6,000",6436066021,6436,06602,8806436066021 ,8806436066021 ,643606602,6436,1,OK
