바코드,이름,판매가격,파싱문자열,회사코드,품목코드
0108806538016139,[신일]클로닉신리시네이트 10T,"2,000",6538016139,6538,0161
0108806538047416,아미나엑스 100T,"50,000",6538047416,6538,0474
0108806538050157,트레스오릭스 포르테 30C,"10,000",6538050157,6538,0501
0108806538050324,니코에이패취 2단계 15mg 7매,"10,000",6538050324,6538,0503
0108806538050423,니코에이패취 3단계 10mg 7매,"9,500",6538050423,6538,0504
0108806538050522,니코에이패취 1단계 25mg 7매,"11,000",6538050522,6538,0505
0108806538050713,니코에이껌 2mg 30개입,"11,000",6538050713,6538,0507
0108806538051727,하나로겔 20g,"8,000",6538051727,6538,0517
0108806538051765,하나로 50g,"15,000",6538051765,6538,0517
0108806538052014,젠스트린 멘톨&페퍼민트향 12T,"4,000",6538052014,6538,0520
0108806538052021,젠스트린 레몬향 12T,"4,000",6538052021,6538,0520
0108806538052038,젠스트린 복숭아향 12T,"4,000",6538052038,6538,0520
0108806538055916,디펜 코인 30P,"2,500",6538055916,6538,0559
0108806538060019,스티모린 에스크림 5g,"4,000",6538060019,6538,0600
0108806538060026,스티모린 에스크림 10g,"7,000",6538060026,6538,0600
0108806538065120,디펜 파워 투어펜 쿨 12매,"3,000",6538065120,6538,0651
01088065410011151728022510416785,[유씨] 지르텍10mg 10T,"4,500",65410011151728022510416785,6541,0011
01088065410011151728032610419333,[유씨] 지르텍10mg 10T,"4,500",65410011151728032610419333,6541,0011
01088065410011461728030210416788,[유씨]지르텍정 10mg 100정,"25,000",65410011461728030210416788,6541,0011
0108806542004610,아졸 10T,"1,500",6542004610,6542,0046
0108806562053612,멜라트리 10T,"2,000",6562053612,6562,0536
0108806574015226,맥시부키즈 6ml x 10포,"4,000",6574015226,6574,0152
0108806574015318,헤리엔톡크림 5g,"6,000",6574015318,6574,0153
0108806574015523,페리톡 10g,"7,000",6574015523,6574,0155
0108806581056519,엑스콜 코프 10c,"3,000",6581056519,6581,0565
0108806581057431,엑스콜 콜드 에프 10c,"2,500",6581057431,6581,0574
0108806581063036,엑스콜디 과립 (스틱) 6p,"3,000",6581063036,6581,0630
0108806581086110,엑스콜디 정 10c,"3,000",6581086110,6581,0861
0108806628001236,리쥬비넥스 10g,"35,000",6628001236,6628,0012
0108806628002523,리안점안액,"12,000",6628002523,6628,0025
0108806641015319,트립라인정[하이플생명과학],"2,000",6641015319,6641,0153
0108806641015517,파이에온 10T,"2,000",6641015517,6641,0155
0108806644000312,바슈 리포직 점안겔 10g,"4,500",6644000312,6644,0003
