바코드,이름,판매가격,파싱문자열,회사코드,품목코드
8806411001016 ,비판텐 30g,"12,000",6411001016,6411,0010
8806411001030 ,비판텐 100g,"25,000",6411001030,6411,0010
8806411001115 ,사리돈-에이 10T,"3,200",6411001115,6411,0011
8806411002747 ,아스피린 프로텍트정 100mg 98T,"8,500",6411002747,6411,0027
8806411003010 ,카네스텐1질정 1T,"12,000",6411003010,6411,0030
8806411003218 ,카네스텐 질정 6EA,"14,000",6411003218,6411,0032
8806411003348 ,카네스텐 크림 10g,"11,000",6411003348,6411,0033
8806416004036 ,닥터 베아제 10T,"2,800",6416004036,6416,0040
8806416014615 ,베아제 10T,"2,800",6416014615,6416,0146
8806416015520 ,대웅 복합우루사 25mg / 80C,"31,000",6416015520,6416,0155
8806416015575 ,대웅 복합우루사 25mg / 60C,"27,000",6416015575,6416,0155
8806416020432 ,대웅 우루사정 100mg 100T,"39,000",6416020432,6416,0204
8806416021323 ,이지엔6애니 연질캡슐 10C,"2,000",6416021323,6416,0213
8806416021415 ,이지엔6프로 연질캡슐 10C,"2,000",6416021415,6416,0214
8806416021422 ,이지엔6프로 30C,"5,800",6416021422,6416,0214
8806416026915 ,대웅 우루사 50mg / 120C,"36,000",6416026915,6416,0269
8806416046616 ,이지에프 새살연고(생),"22,900",6416046616,6416,0466
8806416055519 ,이지엔6이브 연질캡슐 10C,"2,000",6416055519,6416,0555
8806416055526 ,이지엔6이브 30C,"5,800",6416055526,6416,0555
8806416062210 ,이지엔6 스트롱 연질캡슐 10C,"2,000",6416062210,6416,0622
8806416064320 ,코메키나 캡슐 10C,"3,000",6416064320,6416,0643
8806416071731 ,스타빅 20ml x 6P,"4,000",6416071731,6416,0717
8806416077719 ,이지엔6 나이트 연질캡슐 10C,"2,500",6416077719,6416,0777
8806416081815 ,이지엔6 에이스정 500mg 10T,"2,000",6416081815,6416,0818
8806417005216 ,[일양] 벌무덴 40ml,"4,800",6417005216,6417,0052
8806417009825 ,아미노피정[일양],"40,000",6417009825,6417,0098
8806417011514 ,알콤정4T,"3,000",6417011514,6417,0115
8806417013013 ,원비디100M,700,6417013013,6417,0130
8806417021629 ,진코텔정2박스,"70,000",6417021629,6417,0216
8806417026617 ,헤모콤액30V,"45,000",6417026617,6417,0266
8806417026716 ,헤모콤플러스연질120C,"40,000",6417026716,6417,0267
8806417038313 ,본엔디연질캡슐120C,"35,000",6417038313,6417,0383
8806417043713 ,혈강고카타플라스마6P,"2,500",6417043713,6417,0437
8806417044512 ,도담도담츄어블정240T,"30,000",6417044512,6417,0445
8806417046424 ,노루모듀얼액션현탁액4P,"3,000",6417046424,6417,0464
8806417046448 ,노루모듀얼액션현탁액10P,"7,000",6417046448,6417,0464
8806417048619 ,노루모에프내복액75ML,700,6417048619,6417,0486
8806417052616 ,두피나액30ML,"5,000",6417052616,6417,0526
8806417055426 ,일양경옥고60P,"99,000",6417055426,6417,0554
8806417057710 ,황력골드액100ML,"2,000",6417057710,6417,0577
8806417057819 ,애린쏙정10T,"2,000",6417057819,6417,0578
8806417057925 ,도담도담 트리플 비타액 60P,"45,000",6417057925,6417,0579
8806417062912 ,보나링스피드액5P,"3,000",6417062912,6417,0629
8806417063810 ,크로아존엔정10T,"2,000",6417063810,6417,0638
8806417064510 ,메코엠지프리미엄정120T,"45,000",6417064510,6417,0645
8806418006519 ,광동우황청심원(사향함유)(환제),"14,000",6418006519,6418,0065
8806418006618 ,광동 우황청심원-환/1丸(영묘향)(신),"9,900",6418006618,6418,0066
8806418006922 ,[광동] 우황청심원 현탁액(사향) 50ml,"13,000",6418006922,6418,0069
8806418007011 ,[광동] 우황청심원 현탁액(영묘향/갈색) 50ml,"7,000",6418007011,6418,0070
8806418007028 ,[광동] 우황청심원 현탁액(영묘향) 50ml,"7,000",6418007028,6418,0070
8806418007615 ,광동원탕 100ml,"1,000",6418007615,6418,0076
8806418027736 ,솔표쌍감탕액(갈근탕)(10입),"9,000",6418027736,6418,0277
8806418031429 ,[광동] 파워라센액 20ml x 30V,"100,000",6418031429,6418,0314
8806418032228 ,페리비타캡슐,"60,000",6418032228,6418,0322
8806418051915 ,센스리베정(PTP),"8,000",6418051915,6418,0519
8806418067510 ,벤포파워제트액(이중캡),"3,000",6418067510,6418,0675
8806418068111 ,평위천프라임액 75ml,"1,000",6418068111,6418,0681
8806418068722 ,센코딜에프 20T,"3,000",6418068722,6418,0687
8806418069910 ,큐아크네 플러스 15g,"9,000",6418069910,6418,0699
8806418073443 ,광동 공진단 30환,"1,300,000",6418073443,6418,0734
8806418073450 ,광동 공진단 90환,"3,750,000",6418073450,6418,0734
8806418074617 ,광동 인후엔 가글액 100ml,"3,000",6418074617,6418,0746
8806419002435 ,뉴브이 로토이엑스 12ml,"3,500",6419002435,6419,0024
8806419004439 ,로토 지파이 뉴 11ml,"4,000",6419004439,6419,0044
8806419031312 ,용각산 25g,"5,500",6419031312,6419,0313
8806419031329 ,용각산 55g,"11,000",6419031329,6419,0313
8806419031695 ,용각산쿨 복숭아향 50P,"16,000",6419031695,6419,0316
8806419031718 ,용각산쿨 민트향 50P,"16,000",6419031718,6419,0317
8806419056124 ,로토 씨큐브 아쿠아차지 아이 12ml,"4,000",6419056124,6419,0561
8806419065119 ,트란시노2 120T,"50,000",6419065119,6419,0651
8806420000628 ,누보클렌액 50ml,"3,000",6420000628,6420,0006
8806420003216 ,마이녹실액3% 60ml,"19,000",6420003216,6420,0032
8806420003223 ,마이녹실액3% 180ml,"40,000",6420003223,6420,0032
8806420003315 ,마이녹실액5% 60ml,"19,000",6420003315,6420,0033
8806420003384 ,마이녹실액5% 150ml,"30,000",6420003384,6420,0033
8806420012829 ,[현대] 물파스 에프 88ml,"3,500",6420012829,6420,0128
8806420014335 ,마이녹실겔5% 15g,"5,000",6420014335,6420,0143
8806420014427 ,버물리 키드 25g,"3,500",6420014427,6420,0144
8806420014595 ,[현대] 에어파스 맥스 200ml,"3,500",6420014595,6420,0145
8806420019033 ,마이녹실에스 180C,"55,000",6420019033,6420,0190
8806420019040 ,마이녹실에스 360C,"90,000",6420019040,6420,0190
8806420029926 ,루핑 0.5ml x 30관,"5,500",6420029926,6420,0299
8806420035675 ,마이녹실액5% 360ml,"55,000",6420035675,6420,0356
8806420038515 ,버물리 플라스타 42매,"5,000",6420038515,6420,0385
8806420044516 ,풋원겔 15g,"3,000",6420044516,6420,0445
8806420047852 ,유린타민캡슐 360C,"60,000",6420047852,6420,0478
8806420052917 ,마이녹실폼 에어로솔5% 60g,"15,000",6420052917,6420,0529
8806420053419 ,둥근머리 버물리 에스겔 35g,"3,500",6420053419,6420,0534
8806421010220 ,안티푸라민 에스로션(손흥민에디션) 100ml,"3,000",6421010220,6421,0102
8806421010251 ,안티푸라민 에스로션(손흥민에디션) 500ml,"11,000",6421010251,6421,0102
8806421010756 ,알마겔에프 15ml x 6P,"1,700",6421010756,6421,0107
8806421023114 ,코푸정 에스 10T,"2,500",6421023114,6421,0231
8806421039436 ,안티푸라민 파프 6매,"3,000",6421039436,6421,0394
8806421041330 ,안티푸라민 쿨 6매,"3,000",6421041330,6421,0413
8806421041613 ,덱스피드 10C,"2,500",6421041613,6421,0416
8806421042924 ,삐콤씨 100T,"22,000",6421042924,6421,0429
8806421043013 ,안티푸라민 한방 6매,"3,000",6421043013,6421,0430
8806421044614 ,래피콜노즈연질캡슐 10C,"2,000",6421044614,6421,0446
8806421045116 ,확펜 10C,"2,000",6421045116,6421,0451
8806421050127 ,젠텔정 2T,"1,100",6421050127,6421,0501
8806421050516 ,센스데이 21T,"6,000",6421050516,6421,0505
8806421054118 ,래피콜코프플러스연질캡슐 10C,"2,000",6421054118,6421,0541
8806421055238 ,코푸시럽에스 20ml x 12p,"3,800",6421055238,6421,0552
8806421058918 ,래피콜콜드연질캡슐 10C,"2,000",6421058918,6421,0589
8806421061932 ,라라올라 20ml x 30v,"60,000",6421061932,6421,0619
8806421062328 ,리버올라 20ml x 30V,"50,000",6421062328,6421,0623
8806421062724 ,래피콜케어 건조시럽 레몬향 12포,"10,000",6421062724,6421,0627
8806421062748 ,래피콜케어 건조시럽 히비스커스향 12포,"10,000",6421062748,6421,0627
8806421063714 ,콘택콜드캡슐 10C,"3,500",6421063714,6421,0637
8806422014241 ,아락실과립 8g,"20,000",6422014241,6422,0142
8806422021256 ,타벡스겔 50g,"9,000",6422021256,6422,0212
880642202156 ,타벡스겔 50g,"9,000",642202156,6422,0215
8806422024813 ,아락실큐 20정,"3,500",6422024813,6422,0248
8806422035727 ,[부광] 클리스톤지 30g,"3,000",6422035727,6422,0357
8806422044613 ,코트리나,"3,000",6422044613,6422,0446
8806422045443 ,헥사메딘,"40,000",6422045443,6422,0454
8806422045528 ,위속엔 20정,"3,000",6422045528,6422,0455
8806423025116 ,쓸기담캅셀 50mg 60캡슐,"15,000",6423025116,6423,0251
8806427000911 ,까스활명수큐액 75ml,"1,000",6427000911,6427,0009
8806427018510 ,샤이닝 10T,"3,000",6427018510,6427,0185
8806427026942 ,잇치페이스트 120g,"8,800",6427026942,6427,0269
8806427026966 ,잇치 페이스트 피톤치드 150g,"11,000",6427026966,6427,0269
8806427035128 ,동화 판콜에스/30A,"15,000",6427035128,6427,0351
8806427036712 ,포스테리산 연고 25g,"6,000",6427036712,6427,0367
8806427036828 ,포스테리산 좌제 10개,"8,000",6427036828,6427,0368
8806427039713 ,동화 후시딘연고/5g,"4,800",6427039713,6427,0397
8806427039720 ,동화 후시딘연고/10g,"6,500",6427039720,6427,0397
8806427041815 ,아프타치정 10T,"6,000",6427041815,6427,0418
8806427064036 ,꼬마활명수액 10ml x 5개입,"4,000",6427064036,6427,0640
8806427065422 ,활명수유액 10ml x 5P,"4,000",6427065422,6427,0654
8806427070914 ,큐립연고 8g,"7,000",6427070914,6427,0709
8806427070921 ,큐립연고 마일드허브향 8g,"7,000",6427070921,6427,0709
8806427071515 ,소가프텐 10T,"2,000",6427071515,6427,0715
8806427071812 ,세비타비 18g,"8,000",6427071812,6427,0718
8806427073915 ,잇치페이스트 프로폴리스 140g,"14,000",6427073915,6427,0739
8806427074615 ,드라이언 30ml,"7,000",6427074615,6427,0746
8806427075926 ,화이투벤 노즈시럽 20ml x 5p,"2,500",6427075926,6427,0759
8806427076022 ,화이투벤 콜드시럽 20ml x 5p,"2,500",6427076022,6427,0760
8806427076121 ,화이투벤 코프시럽 20ml x 5p,"2,500",6427076121,6427,0761
8806427077913 ,화이투벤큐플러스 10C,"2,000",6427077913,6427,0779
8806427078019 ,화이투벤큐플러스 코프 10C,"2,000",6427078019,6427,0780
8806427078118 ,화이투벤큐플러스 노즈 10C,"2,000",6427078118,6427,0781
8806428003010 ,덴타포스 10C,"2,000",6428003010,6428,0030
8806428008114 ,비아핀 에멀젼 46.5g,"9,000",6428008114,6428,0081
8806428028518 ,콜로덤 에스액 10ml,"8,000",6428028518,6428,0285
8806428028617 ,하벤프레쉬나잘스프레이 15ml,"8,000",6428028617,6428,0286
8806428028716 ,하벤플러스 15ml,"8,000",6428028716,6428,0287
8806428028921 ,멀스토 2EA,"2,000",6428028921,6428,0289
8806429000810 ,더마큐 15g,"2,500",6429000810,6429,0008
8806429000827 ,더마큐 30g,"5,000",6429000827,6429,0008
8806429000933 ,덴큐 360T(병),"50,000",6429000933,6429,0009
8806429007017 ,세노바액(딸기향) 60ml,"4,000",6429007017,6429,0070
8806429010024 ,아로나민 골드 100T,"29,000",6429010024,6429,0100
8806429010062 ,아로나민 골드 300T,"88,000",6429010062,6429,0100
8806429010130 ,아로나민 씨플러스 100T,"32,000",6429010130,6429,0101
8806429010178 ,아로나민 씨플러스 300T,"85,000",6429010178,6429,0101
8806429017726 ,[일동] 엑소데릴 30ml,"6,000",6429017726,6429,0177
8806429020641 ,캐롤에프 10T,"2,000",6429020641,6429,0206
8806429026056 ,후루케어 200mg 10c,"2,500",6429026056,6429,0260
8806429046627 ,티로클 10g,"4,500",6429046627,6429,0466
8806429053212 ,아로나민 실버 프리미엄정 120T,"40,000",6429053212,6429,0532
8806429058019 ,무조라실쿨 20g,"6,000",6429058019,6429,0580
8806429059023 ,에너라민파워액,"150,000",6429059023,6429,0590
8806429059412 ,푸레파인 연고 28g,"6,500",6429059412,6429,0594
8806429063921 ,푸레파인 마일드 좌제 10T,"9,900",6429063921,6429,0639
8806429064010 ,푸레파인 마일드 연고 28g,"6,500",6429064010,6429,0640
8806429065512 ,아로나민 골드 프리미엄 120T,"50,000",6429065512,6429,0655
8806429065536 ,아로나민 골드 프리미엄 180T,"60,000",6429065536,6429,0655
8806429068018 ,엑세라민 엔,"60,000",6429068018,6429,0680
8806429068810 ,푸레파쎈600,"35,000",6429068810,6429,0688
8806429068916 ,콘센비타800,"60,000",6429068916,6429,0689
8806429069015 ,로이히츠보코 156매,"15,000",6429069015,6429,0690
8806429069718 ,판테놀케어 60g,"8,000",6429069718,6429,0697
8806429070820 ,푸레파스피드 24T,"12,000",6429070820,6429,0708
8806432001316 ,미녹시딜3% 200ml,"25,000",6432001316,6432,0013
8806432001422 ,미녹시딜5% 200ml,"25,000",6432001422,6432,0014
8806432002948 ,디퓨탭 10T,"2,500",6432002948,6432,0029
8806432002962 ,디퓨탭 30T,"6,000",6432002962,6432,0029
8806432005024 ,비가졸액 120ml,"7,000",6432005024,6432,0050
8806432006014 ,[동성] 쎄레론지 30g,"3,000",6432006014,6432,0060
8806432008537 ,유그린에프 50g,"5,000",6432008537,6432,0085
8806432013517 ,바로비크림 10g,"3,000",6432013517,6432,0135
8806432027910 ,바르핀쿨크림 20g,"7,000",6432027910,6432,0279
8806432029716 ,치스민 60C,"15,000",6432029716,6432,0297
8806432029815 ,정로환에프 100환,"5,500",6432029815,6432,0298
8806432030224 ,정로환에프 36T,"4,500",6432030224,6432,0302
8806432030637 ,디알클린 0.5ml*30,"7,000",6432030637,6432,0306
8806432033515 ,록소앤 튜브타입 50g,"7,000",6432033515,6432,0335
8806432033522 ,록소앤겔(롤온) 50g,"7,000",6432033522,6432,0335
8806432034512 ,바르핀케어네일라카 5ml,"15,000",6432034512,6432,0345
8806432034727 ,토스롱S 20ml x 5P,"3,000",6432034727,6432,0347
8806432035021 ,이엠지 스피드 더블액션 20ml x 5P,"8,000",6432035021,6432,0350
8806432035113 ,디클리어 25ml,"7,000",6432035113,6432,0351
8806433025212 ,젤콤정 500mg 1T,"1,000",6433025212,6433,0252
8806433025328 ,젤콤현탁액 15ml x 2P,"2,500",6433025328,6433,0253
8806433050214 ,펜잘큐 10T,"2,500",6433050214,6433,0502
8806433052317 ,류파프카타플라스마 6P,"3,000",6433052317,6433,0523
8806433052324 ,류파프카타플라스마(H-TYPE) 6P,"3,000",6433052324,6433,0523
8806433062811 ,모드코S 코감기 10C,"2,500",6433062811,6433,0628
8806433062910 ,모드콜S 종합감기 10C,"2,500",6433062910,6433,0629
8806433062927 ,모드콜S 종합감기 연질캡슐 20C,"4,000",6433062927,6433,0629
8806433063016 ,모드코프S 목감기 10C,"2,500",6433063016,6433,0630
8806433065928 ,프리페민 90T,"40,000",6433065928,6433,0659
8806433069315 ,낙센 250mg 10C,"2,000",6433069315,6433,0693
8806433090425 ,모드콜 콜드시럽(성인용) 15ml x 5P,"2,500",6433090425,6433,0904
8806433090524 ,모드콜 콜드시럽(소아용) 5ml x 10P,"2,500",6433090524,6433,0905
8806433090623 ,모드콜 코프시럽(성인용) 20ml x 5P,"2,500",6433090623,6433,0906
8806433090722 ,모드콜코프시럽(소아용) 5ml x 10P,"2,500",6433090722,6433,0907
8806433092528 ,모드콜로시럽 20ml x 5P,"3,500",6433092528,6433,0925
8806433092627 ,모드콜 노즈시럽(소아용) 5ml x 10P,"2,500",6433092627,6433,0926
8806433092726 ,포텐스틱 20ml x 5P,"7,500",6433092726,6433,0927
8806433092733 ,포텐스틱 20ml x 20P,"30,000",6433092733,6433,0927
8806433092924 ,모드콜 노즈시럽(성인용) 20ml x 5P,"2,500",6433092924,6433,0929
8806433094218 ,동의고 카타플라스마(8cmX12cm) 6P,"3,000",6433094218,6433,0942
8806433094317 ,브레이닝 60C,"30,000",6433094317,6433,0943
8806433095710 ,더마그램 100ml,"13,000",6433095710,6433,0957
8806433095819 ,더마그램 18g,"7,500",6433095819,6433,0958
8806433098926 ,모드콜 키즈펜시럽 5ml x 10P,"2,500",6433098926,6433,0989
8806433099114 ,장트라올라 30C,"7,000",6433099114,6433,0991
8806433099817 ,더마그램 30C,"9,000",6433099817,6433,0998
8806433101114 ,더마그램 피디알엔 10g,"30,000",6433101114,6433,1011
8806433101121 ,더마그램 피디알엔 크림 30g,"70,000",6433101121,6433,1011
8806435000712 ,히아로겔/ 15g(H.POP),"10,000",6435000712,6435,0007
8806435002242 ,눈앤점안액0.5%(1회용) / (0.5mL*5)*6(OTC),"9,000",6435002242,6435,0022
8806435010032 ,목시딜액5% 30mL,"7,000",6435010032,6435,0100
8806435010520 ,무조날 크림/ 15g(NEW),"5,000",6435010520,6435,0105
8806435011442 ,복합써스펜 좌약/ 10S(NEW),"10,000",6435011442,6435,0114
8806435013217 ,소하자임플러스정 10T(PTP)(NEW),"3,000",6435013217,6435,0132
8806435015716 ,텐텐츄정/ 120T(NEW),"17,000",6435015716,6435,0157
8806435024541 ,"케어가글액(무색, 박하향) 1000mL(약국용)","10,000",6435024541,6435,0245
8806435024589 ,"케어가글액(무색,사과향) 250ml(약국용)","4,000",6435024589,6435,0245
8806435028839 ,텐텐츄정 120T,"19,000",6435028839,6435,0288
8806435031747 ,파워겔/1.0g*5,"9,000",6435031747,6435,0317
8806435055316 ,프리비정/ 30T*2,"35,000",6435055316,6435,0553
8806435062116 ,코앤나잘스프레이 15mL(140회),"10,000",6435062116,6435,0621
8806435065117 ,장쾌락시럽 15mL*30P,"30,000",6435065117,6435,0651
8806435067210 ,무조날쿨크림 15g,"7,000",6435067210,6435,0672
8806435070913 ,목앤스프레이 20mL,"10,000",6435070913,6435,0709
8806435071248 ,안토시안 60C,"28,000",6435071248,6435,0712
8806435073914 ,코앤쿨나잘스프레이 20mL,"10,000",6435073914,6435,0739
8806435074812 ,까스앤프리츄정80밀리그램 12T(PTP),"4,000",6435074812,6435,0748
8806435079411 ,무조날에스네일라카 6mL,"25,000",6435079411,6435,0794
8806435081725 ,한미치쏙정600밀리그램 30T*2,"40,000",6435081725,6435,0817
8806435087218 ,눈앤큐 15mL,"4,000",6435087218,6435,0872
8806435087911 ,리렉스담정 10T,"2,000",6435087911,6435,0879
8806435088024 ,눈앤쿨 0.5ml x 30관,"8,000",6435088024,6435,0880
8806435088116 ,코앤쿨 에스 30ml,"8,000",6435088116,6435,0881
8806435088529 ,마그네비 스피드액 20ml x 5P,"6,000",6435088529,6435,0885
8806435088710 ,무조날맥스 5ml,"15,000",6435088710,6435,0887
8806435089526 ,써스펜 키즈시럽 6ml x 10P,"4,000",6435089526,6435,0895
8806435089618 ,맥시부펜노즈 12C,"4,000",6435089618,6435,0896
8806435089915 ,맥시부펜콜드 12C,"4,000",6435089915,6435,0899
8806435090010 ,맥시부펜코프 12C,"4,000",6435090010,6435,0900
8806436003125 ,노바손크림 30g,"3,000",6436003125,6436,0031
8806436008328 ,후시메드 10g,"3,000",6436008328,6436,0083
8806436010611 ,바스포 10g,"2,500",6436010611,6436,0106
8806436016712 ,탁센 10C,"2,000",6436016712,6436,0167
8806436016736 ,탁센 30C,"5,500",6436016736,6436,0167
8806436017214 ,페리덱스 6g,"3,000",6436017214,6436,0172
8806436033115 ,제놀한방 5매,"2,500",6436033115,6436,0331
8806436035713 ,써버쿨 키드크림 15g,"2,500",6436035713,6436,0357
8806436036413 ,쿨드림 10C,"2,000",6436036413,6436,0364
8806436044814 ,알러샷 10C,"2,500",6436044814,6436,0448
8806436049819 ,제놀쿨 5매,"2,000",6436049819,6436,0498
8806436050211 ,디어미 21T,"6,000",6436050211,6436,0502
8806436051911 ,탁센400 이부프로펜 10C,"2,000",6436051911,6436,0519
8806436052512 ,로시놀 더블액션 크림 20g,"3,000",6436052512,6436,0525
8806436056022 ,백초시럽 5ml x 10개,"5,000",6436056022,6436,0560
8806436057029 ,스카힐골드겔 20g,"10,000",6436057029,6436,0570
8806436058613 ,탁센 덱시부프로펜 10C,"2,000",6436058613,6436,0586
8806436058811 ,디어미순 28T,"7,500",6436058811,6436,0588
8806436062719 ,탁센레이디 10C,"2,000",6436062719,6436,0627
8806436062726 ,탁센레이디 30C,"5,500",6436062726,6436,0627
8806436063617 ,로시놀액 30ml,"4,000",6436063617,6436,0636
8806436065413 ,탁센 아세트아미노펜 500ml 10정,"2,000",6436065413,6436,0654
8806436067110 ,써버쿨 에스 50ml,"4,000",6436067110,6436,0671
8806436067219 ,그린노즈플러스 10C,"2,500",6436067219,6436,0672
8806438000429 ,덴드로프쿨 120ml,"8,000",6438000429,6438,0004
8806438002119 ,스카덤겔 20g,"11,000",6438002119,6438,0021
8806438003321 ,[신신] 물파스 에스 90ml,"3,000",6438003321,6438,0033
8806438003352 ,[신신] 물파스 에스 120ml,"4,000",6438003352,6438,0033
8806438003918 ,티눈고 혼합형 2매,"4,000",6438003918,6438,0039
8806438004014 ,티눈밴드 8매,"3,000",6438004014,6438,0040
8806438004069 ,티눈밴드 발바닥형 6매,"3,000",6438004069,6438,0040
8806438004113 ,신신 티눈액(붓타입) 10ml,"4,000",6438004113,6438,0041
8806438004519 ,[신신] 신형) 아렉스 중형 10매,"2,800",6438004519,6438,0045
8806438007022 ,유라덤 50g,"4,000",6438007022,6438,0070
8806438008036 ,[신신] 케토크린 7매,"1,800",6438008036,6438,0080
8806438012316 ,노스엣 30ml,"8,000",6438012316,6438,0123
8806438012811 ,버래물(롤타입) 50ml,"3,000",6438012811,6438,0128
8806438015324 ,신신 아시클로버크림 10g,"3,000",6438015324,6438,0153
8806438016116 ,노스엣 센스 30ml,"8,000",6438016116,6438,0161
8806438019919 ,물린디키드 15g,"4,000",6438019919,6438,0199
8806438020038 ,[신신] 세라덤 30g,"3,000",6438020038,6438,0200
8806438020519 ,몽푸로겔,"6,000",6438020519,6438,0205
8806438021332 ,나오덤크림 20g,"3,000",6438021332,6438,0213
8806438022315 ,무조무알파 에어로솔 60g,"6,000",6438022315,6438,0223
8806438022339 ,무조무알파 에어로솔 120g,"9,500",6438022339,6438,0223
8806438026726 ,무조무원스 5g x 2EA,"15,000",6438026726,6438,0267
8806438027013 ,[신신] 찜파스 8매,"3,000",6438027013,6438,0270
8806438027426 ,록소크린 플라스타 10매,"3,000",6438027426,6438,0274
8806438027433 ,록소크린 12매,"3,000",6438027433,6438,0274
8806438029925 ,스카덤 클리어 20g,"12,000",6438029925,6438,0299
8806438031225 ,[신신] 플렉스 아렉스마일드 6매,"4,000",6438031225,6438,0312
8806438031522 ,신신 삼소음액 75ml x 10포,"9,000",6438031522,6438,0315
8806438031621 ,신신 갈근탕액 75ml x 10포,"9,000",6438031621,6438,0316
8806438031720 ,신신 쌍화탕액 75ml x 10포,"9,000",6438031720,6438,0317
8806438031829 ,신신 소청룡탕액 75ml x 10포,"9,000",6438031829,6438,0318
8806438032918 ,[신신] 아렉스 로션 100ml,"4,500",6438032918,6438,0329
8806438033717 ,미야리산 70g,"25,000",6438033717,6438,0337
8806438034424 ,[신신] 플렉스 캐네펜 6매,"4,000",6438034424,6438,0344
8806438035216 ,물린디쿨 50ml,"4,000",6438035216,6438,0352
8806438035315 ,티눈밴드S 8매,"5,000",6438035315,6438,0353
8806438035339 ,티눈밴드S 발바닥형 6매,"5,000",6438035339,6438,0353
8806438037012 ,[신신] 디클로맥스 6매,"4,000",6438037012,6438,0370
8806438037210 ,아크덤겔 30g,"8,000",6438037210,6438,0372
8806438037418 ,신신플렉스 10T,"2,000",6438037418,6438,0374
8806438037913 ,[신신] 플렉스 한방 6매,"4,000",6438037913,6438,0379
8806438038514 ,디클로맥스겔 80g,"9,000",6438038514,6438,0385
8806438039016 ,무조무네일외용액 6ml,"8,000",6438039016,6438,0390
8806439009117 ,삼일 어린이 부루펜시럽 90ml,"6,000",6439009117,6439,0091
8806439036113 ,티어실 에어로솔 60g,"7,000",6439036113,6439,0361
8806440000820 ,노보민시럽(성인용) 2P,"2,000",6440000820,6440,0008
8806440039721 ,소보민시럽(어린이용) 2P,"2,000",6440039721,6440,0397
8806446001951 ,리보테인 정 30c,"5,000",6446001951,6446,0019
8806446001968 ,리보테인 100T,"15,000",6446001968,6446,0019
8806446010021 ,디오스민 60C,"23,000",6446010021,6446,0100
8806446015620 ,훼마틴 에이 10ml x 30P,"55,000",6446015620,6446,0156
8806446023526 ,엘라스에이 7ml x 10V,"45,000",6446023526,6446,0235
8806446042046 ,헤파토스 시럽 200ml*3v,"8,000",6446042046,6446,0420
8806446042510 ,조은아이 400ml,"30,000",6446042510,6446,0425
8806446043012 ,엘레멘 에프시럽 50ml,"5,500",6446043012,6446,0430
8806446043715 ,조은아이 엠플러스 400ml,"35,000",6446043715,6446,0437
8806446045122 ,자하골드액 20ml x 30V,"100,000",6446045122,6446,0451
8806446045139 ,자하골드액 20ml x 60V,"170,000",6446045139,6446,0451
8806447022283 ,트라스트,"20,000",6447022283,6447,0222
8806448002215 8806448002215,노비프록스,"9,000",64480022158806448002215,6448,0022
8806448003113 ,도미나크림 60g,"40,000",6448003113,6448,0031
8806448003113 8806448003113,도미나크림 60g,"40,000",64480031138806448003113,6448,0031
8806448003168 ,도미나크림 50g,"38,000",6448003168,6448,0031
8806448003168 8806448003168,도미나크림 50g,"38,000",64480031688806448003168,6448,0031
8806448006510 8806448006510,메카인정 2정*50,900,64480065108806448006510,6448,0065
8806448009016 ,박트리안,"3,000",6448009016,6448,0090
8806448009016 8806448009016,박트리안,"4,000",64480090168806448009016,6448,0090
8806448009412 ,베이덤연고 50g,"3,000",6448009412,6448,0094
8806448009412 8806448009412,베이덤연고 50g,"4,000",64480094128806448009412,6448,0094
8806448009641 ,벤트락스겔 20g,"14,000",6448009641,6448,0096
8806448009641 8806448009641,벤트락스겔 20g,"14,000",64480096418806448009641,6448,0096
8806448012313 ,아비나파스타,"4,000",6448012313,6448,0123
8806448012313 8806448012313,아비나파스타,"4,000",64480123138806448012313,6448,0123
8806448014713 8806448014713,엘린플러스크림,"4,000",64480147138806448014713,6448,0147
8806448016427 8806448016427,제올라S액,"4,000",64480164278806448016427,6448,0164
8806448016519 8806448016519,제올라크림,"3,000",64480165198806448016519,6448,0165
8806448022718 ,아즈렌S크림 30g,"5,000",6448022718,6448,0227
8806448022718 8806448022718,아즈렌S크림 30g,"5,000",64480227188806448022718,6448,0227
8806448030911 8806448030911,하이로손 20g,"2,500",64480309118806448030911,6448,0309
8806448033028 8806448033028,벤트플라겔 15g,"7,000",64480330288806448033028,6448,0330
8806448039938 8806448039938,이클린탁스130g,"8,000",64480399388806448039938,6448,0399
8806448046622 ,티트로신 10g,"4,000",6448046622,6448,0466
8806448046622 8806448046622,티트로신 10g,"4,000",64480466228806448046622,6448,0466
8806448055419 ,목앤탁인후스프레이 30ml,"7,000",6448055419,6448,0554
8806448055419 8806448055419,목앤탁인후스프레이 30ml,"7,000",64480554198806448055419,6448,0554
8806448057314 ,태극우레아연고,"5,000",6448057314,6448,0573
8806448057314 8806448057314,태극우레아연고,"5,000",64480573148806448057314,6448,0573
8806448058823 8806448058823,아크스카클리어겔 20g,"10,000",64480588238806448058823,6448,0588
8806448059615 8806448059615,비오딜정 30정*2,"30,000",64480596158806448059615,6448,0596
8806448064510 8806448064510,미녹시딜바이그루트액3%,"30,000",64480645108806448064510,6448,0645
8806448064633 8806448064633,미녹시딜바이그루트액 5%,"30,000",64480646338806448064633,6448,0646
8806448065821 ,아크클리어크림 20g,"10,000",6448065821,6448,0658
8806448065821 8806448065821,아크클리어겔 20g,"10,000",64480658218806448065821,6448,0658
